Passenger_ID,Stop_ID,Latitude,Longitude,Boarding,Alighting,Passenger_Count,Time,Day,Weather,Traffic_Level,Road_Width,Population_Density,Land_Use,Distance_to_Next_Stop_m,Bus_Frequency,Waiting_Time_min,Bus_Dwell_Time_sec,Walking_Distance_m,Occupancy_pct,Peak_Hour,Bus_Route
18,BS003,13.058702,77.56507,4,9,19,19:00,Wednesday,Cloudy,Low,23,3178,Mixed,414,5,10,20,123,84,Yes,R01
19,BS017,13.040074,77.497916,27,22,72,18:15,Saturday,Sunny,High,9,2664,Residential,278,11,8,51,238,85,Yes,R03
20,BS035,13.039006,77.494416,21,22,58,09:00,Thursday,Rainy,Medium,15,3198,Residential,547,18,9,18,283,99,Yes,R01
21,BS019,13.057009,77.535719,6,20,49,12:15,Thursday,Rainy,Medium,26,9276,Commercial,603,13,15,54,143,65,No,R03
22,BS048,13.046645,77.490165,4,19,37,18:00,Sunday,Sunny,Medium,11,7382,Commercial,481,7,13,18,274,33,Yes,R02
23,BS015,13.034124,77.553508,29,17,70,08:00,Wednesday,Rainy,Low,13,10487,Commercial,491,16,6,15,450,64,Yes,R01
24,BS025,13.001947,77.544403,4,26,37,07:00,Friday,Rainy,High,28,9654,Mixed,490,9,12,30,423,64,Yes,R01
25,BS033,13.01475,77.514506,23,9,38,19:30,Thursday,Sunny,Medium,19,1603,Residential,595,8,8,45,311,49,Yes,R03
26,BS008,13.013901,77.50017,28,6,48,07:30,Wednesday,Rainy,Medium,16,10488,Commercial,400,13,6,34,398,39,Yes,R03
27,BS030,13.035782,77.510975,5,8,31,19:30,Thursday,Rainy,High,11,6027,Commercial,436,11,14,39,244,39,Yes,R02
28,BS001,13.036899,77.531007,19,19,64,07:15,Thursday,Rainy,High,26,11029,Residential,679,6,2,32,121,80,Yes,R03
29,BS013,13.021134,77.535403,11,19,39,18:00,Saturday,Rainy,High,27,7805,Mixed,697,16,7,18,283,87,Yes,R01
30,BS034,13.053066,77.507019,22,2,52,18:15,Thursday,Sunny,Medium,19,7645,Residential,695,15,10,48,97,74,Yes,R02
31,BS025,13.004782,77.491775,11,5,40,09:00,Tuesday,Cloudy,Low,25,2976,Institutional,628,17,9,23,99,80,Yes,R03
32,BS034,13.063117,77.512842,18,11,33,12:30,Tuesday,Rainy,Medium,13,10440,Institutional,579,6,5,53,173,63,No,R03
33,BS011,13.0253,77.546435,32,22,72,09:30,Wednesday,Sunny,High,20,3796,Institutional,677,14,8,53,110,82,Yes,R03
34,BS037,13.046429,77.495723,7,14,26,09:15,Thursday,Rainy,High,18,11135,Institutional,405,12,9,51,499,65,Yes,R02
35,BS034,13.031483,77.540446,5,30,44,07:45,Saturday,Rainy,Low,9,10151,Residential,671,5,6,56,277,58,Yes,R03
36,BS023,13.077062,77.507638,12,11,53,18:15,Friday,Cloudy,Low,21,5715,Commercial,511,14,12,24,142,42,Yes,R01
37,BS045,13.064182,77.51204,15,26,44,18:45,Tuesday,Rainy,Low,19,9706,Residential,374,19,15,34,148,65,Yes,R03
38,BS034,13.026797,77.54948,5,7,14,07:00,Friday,Rainy,Medium,16,7211,Mixed,385,7,10,48,453,27,Yes,R02
39,BS039,13.00494,77.554089,37,27,79,17:45,Friday,Sunny,Medium,22,7820,Residential,318,5,14,56,270,36,Yes,R01
40,BS019,13.020385,77.528114,31,16,57,17:15,Sunday,Rainy,Low,23,11301,Mixed,692,11,2,15,199,29,Yes,R03
41,BS026,13.040653,77.513758,13,24,41,17:30,Wednesday,Cloudy,Low,14,1057,Residential,612,14,13,49,250,98,Yes,R01
42,BS033,13.017187,77.55831,21,14,42,19:45,Monday,Rainy,Medium,18,4523,Mixed,407,13,14,37,244,88,Yes,R01
43,BS019,13.059563,77.543323,3,9,25,19:30,Saturday,Sunny,Medium,13,1304,Commercial,698,16,4,39,482,34,Yes,R02
44,BS009,13.060347,77.543788,3,18,26,17:45,Monday,Rainy,High,17,7557,Institutional,295,17,7,25,483,100,Yes,R02
45,BS039,13.035348,77.5056,4,20,47,12:00,Friday,Cloudy,High,29,3597,Mixed,616,5,15,57,500,60,No,R01
46,BS037,13.064976,77.533223,28,16,70,12:00,Tuesday,Cloudy,Medium,10,10012,Residential,263,11,4,21,177,95,No,R02
47,BS021,13.008909,77.512977,10,22,52,12:30,Wednesday,Sunny,High,15,11349,Commercial,286,12,15,31,108,82,No,R03
48,BS013,13.002102,77.499646,26,10,39,09:30,Tuesday,Sunny,High,20,7600,Residential,618,16,12,46,88,59,Yes,R03
49,BS013,13.063485,77.509589,36,29,80,09:00,Sunday,Cloudy,Low,12,2982,Commercial,299,13,4,47,445,20,Yes,R02
50,BS026,13.034776,77.552233,13,20,42,19:00,Monday,Rainy,Medium,18,4190,Residential,473,9,14,15,341,56,Yes,R03
51,BS050,13.022651,77.497471,25,17,71,19:00,Wednesday,Cloudy,High,10,2701,Institutional,335,10,14,19,402,77,Yes,R02
52,BS023,13.034882,77.549836,6,10,17,19:30,Monday,Sunny,Medium,13,9883,Residential,511,16,8,52,496,94,Yes,R01
53,BS005,13.016228,77.525394,29,18,49,18:45,Tuesday,Sunny,Low,17,4420,Institutional,520,18,11,37,210,64,Yes,R02
54,BS008,13.030746,77.492756,21,7,58,12:00,Thursday,Sunny,Medium,25,5127,Residential,287,13,4,58,206,41,No,R03
55,BS046,13.044065,77.506668,12,25,67,17:15,Tuesday,Rainy,High,15,2471,Residential,492,14,3,51,181,67,Yes,R02
56,BS009,13.050995,77.5615,3,8,40,17:15,Tuesday,Sunny,High,29,5257,Residential,602,10,10,23,280,50,Yes,R02
57,BS029,13.010524,77.495323,31,29,80,12:00,Monday,Cloudy,Low,10,4514,Mixed,530,5,11,52,440,39,No,R01
58,BS016,13.03704,77.52737,17,12,40,18:30,Monday,Sunny,High,10,8414,Mixed,404,10,13,21,177,66,Yes,R01
59,BS018,13.005537,77.520364,12,13,35,17:30,Friday,Rainy,Low,27,7366,Mixed,637,12,2,28,132,24,Yes,R01
60,BS025,13.058305,77.566085,8,19,55,12:00,Sunday,Rainy,Low,17,10020,Residential,392,5,15,24,114,36,No,R03
61,BS044,13.058495,77.528849,25,16,53,17:00,Wednesday,Rainy,Low,15,7993,Residential,311,16,13,31,75,29,Yes,R01
62,BS015,13.040413,77.503306,29,21,55,19:30,Wednesday,Rainy,Medium,19,8501,Commercial,598,8,13,24,277,45,Yes,R01
63,BS025,13.005228,77.50186,12,7,19,07:45,Saturday,Sunny,Medium,27,3236,Mixed,332,9,2,54,256,90,Yes,R01
64,BS008,13.055965,77.569391,16,25,65,07:00,Thursday,Rainy,Medium,29,3257,Mixed,266,9,12,41,226,70,Yes,R01
65,BS021,13.068993,77.55225,7,19,41,09:15,Monday,Rainy,Low,21,2834,Commercial,506,9,15,25,439,73,Yes,R03
66,BS050,13.032148,77.49103,32,19,74,12:00,Saturday,Rainy,High,26,1544,Mixed,465,5,13,35,493,71,No,R03
67,BS016,13.057284,77.506744,14,9,52,19:00,Tuesday,Sunny,Medium,20,4779,Institutional,616,8,11,37,269,92,Yes,R02
68,BS012,13.020684,77.537538,18,24,66,17:45,Tuesday,Cloudy,Low,18,11650,Mixed,499,8,7,23,85,43,Yes,R03
69,BS028,13.063453,77.515336,9,30,60,08:45,Monday,Sunny,Medium,14,3857,Institutional,576,13,15,39,187,40,Yes,R02
70,BS047,13.062381,77.557198,24,19,73,18:00,Saturday,Sunny,High,21,10516,Institutional,373,11,10,15,416,81,Yes,R01
71,BS025,13.074444,77.556666,11,14,41,07:45,Sunday,Rainy,Low,29,5631,Mixed,571,12,10,52,99,56,Yes,R01
72,BS045,13.012624,77.491453,9,22,57,07:00,Saturday,Rainy,Low,14,7571,Residential,296,8,13,15,301,79,Yes,R02
73,BS035,13.05578,77.526203,8,26,59,08:30,Wednesday,Cloudy,High,15,10818,Residential,306,12,2,41,248,40,Yes,R03
74,BS012,13.070846,77.5312,19,26,54,18:30,Saturday,Sunny,High,14,10777,Institutional,331,12,12,44,176,39,Yes,R02
75,BS032,13.014792,77.521182,23,24,72,12:30,Monday,Sunny,Medium,13,8161,Residential,527,9,6,45,190,69,No,R01
76,BS006,13.023601,77.545527,27,2,35,12:15,Tuesday,Rainy,Low,27,3871,Mixed,698,15,4,36,158,24,No,R02
77,BS033,13.0471,77.508638,34,3,37,17:45,Sunday,Rainy,Medium,12,8802,Mixed,283,15,2,38,276,66,Yes,R03
78,BS030,13.053262,77.51434,26,14,63,18:30,Thursday,Cloudy,High,10,10985,Institutional,297,5,15,16,137,73,Yes,R01
79,BS029,13.040082,77.544136,26,10,62,17:15,Wednesday,Cloudy,Low,19,7303,Residential,521,20,15,22,436,94,Yes,R01
80,BS020,13.07441,77.54873,2,5,29,19:45,Tuesday,Sunny,Medium,9,4529,Commercial,695,5,9,34,295,58,Yes,R03
81,BS004,13.014305,77.549866,23,22,61,17:15,Saturday,Rainy,Medium,30,2581,Mixed,532,5,14,54,351,27,Yes,R01
82,BS032,13.035154,77.508061,10,24,44,07:45,Saturday,Rainy,Low,12,8889,Institutional,513,15,9,30,393,90,Yes,R03
83,BS025,13.007843,77.550468,39,4,54,17:30,Sunday,Rainy,Medium,23,10783,Commercial,522,5,5,40,440,43,Yes,R01
84,BS017,13.062107,77.53478,19,2,23,19:15,Saturday,Rainy,Medium,10,3987,Institutional,626,7,4,27,475,43,Yes,R01
85,BS029,13.05901,77.539545,34,0,51,08:00,Thursday,Rainy,Low,25,8437,Residential,525,19,6,16,300,33,Yes,R02
86,BS009,13.022266,77.530012,38,29,87,12:45,Thursday,Sunny,Low,22,7845,Institutional,278,7,12,58,246,62,No,R01
87,BS003,13.033138,77.498596,29,3,54,07:45,Friday,Rainy,High,17,5333,Commercial,617,11,15,19,382,77,Yes,R01
88,BS048,13.038133,77.495969,19,10,43,08:15,Monday,Cloudy,High,16,10605,Mixed,688,8,3,49,193,78,Yes,R01
89,BS035,13.061626,77.502613,36,9,45,19:45,Monday,Rainy,Low,25,8920,Institutional,584,7,4,18,397,72,Yes,R02
90,BS011,13.017004,77.511257,11,21,42,12:45,Wednesday,Cloudy,Low,25,4938,Commercial,599,12,10,43,478,25,No,R03
91,BS014,13.073109,77.512738,25,30,63,19:15,Sunday,Rainy,Low,20,10953,Mixed,581,5,5,59,244,76,Yes,R01
92,BS005,13.003438,77.529878,15,23,67,08:00,Monday,Rainy,High,11,5109,Commercial,293,7,11,60,268,67,Yes,R03
93,BS035,13.069806,77.545732,19,4,47,17:45,Thursday,Cloudy,Medium,21,2420,Commercial,266,7,5,53,423,24,Yes,R02
94,BS030,13.066909,77.525769,12,8,26,12:45,Sunday,Sunny,Low,21,1925,Commercial,639,5,3,20,485,72,No,R03
95,BS028,13.003633,77.516094,12,28,51,07:45,Tuesday,Rainy,High,26,11167,Residential,292,6,4,37,491,65,Yes,R01
96,BS001,13.026121,77.564637,26,11,56,17:15,Tuesday,Sunny,Medium,26,1503,Commercial,444,15,10,48,324,23,Yes,R02
97,BS049,13.046891,77.494245,20,8,39,08:00,Tuesday,Rainy,Low,16,10323,Commercial,402,8,7,21,256,46,Yes,R03
98,BS041,13.033371,77.522994,6,26,37,07:15,Thursday,Cloudy,High,11,10289,Institutional,337,10,2,49,246,89,Yes,R01
99,BS047,13.013933,77.527228,22,29,51,18:15,Sunday,Sunny,Medium,21,7020,Mixed,501,5,7,17,172,76,Yes,R01
100,BS020,13.006196,77.52307,32,11,53,18:45,Tuesday,Sunny,High,17,5266,Mixed,289,9,4,43,246,64,Yes,R03
101,BS028,13.047968,77.564574,23,27,66,12:30,Thursday,Sunny,High,13,3349,Mixed,429,15,9,33,311,78,No,R01
102,BS030,13.050546,77.550244,12,0,36,08:00,Thursday,Cloudy,Medium,22,4515,Commercial,309,11,14,35,267,76,Yes,R02
103,BS001,13.068463,77.554888,28,4,54,17:00,Friday,Rainy,Low,18,2488,Commercial,552,17,4,54,151,38,Yes,R03
104,BS005,13.05745,77.511841,8,2,32,09:30,Thursday,Cloudy,High,20,7642,Commercial,424,9,12,50,120,45,Yes,R02
105,BS043,13.007045,77.522763,12,17,49,07:15,Friday,Cloudy,High,12,6319,Institutional,562,12,9,41,90,60,Yes,R01
106,BS007,13.033065,77.561208,14,1,40,19:00,Wednesday,Sunny,Medium,29,8362,Commercial,505,5,2,31,331,50,Yes,R03
107,BS033,13.0523,77.562808,0,8,12,08:45,Saturday,Sunny,High,17,11872,Residential,658,13,13,28,413,40,Yes,R03
108,BS034,13.060404,77.52477,8,1,39,08:15,Saturday,Rainy,Medium,29,4007,Mixed,498,20,14,20,142,22,Yes,R03
109,BS040,13.006918,77.560129,2,30,32,07:00,Tuesday,Cloudy,Low,17,1551,Residential,389,10,9,27,383,20,Yes,R03
110,BS013,13.051919,77.554985,37,13,80,19:30,Saturday,Cloudy,High,11,1265,Mixed,266,20,9,60,257,58,Yes,R03
111,BS030,13.036271,77.511073,0,29,50,12:00,Sunday,Cloudy,Low,29,4452,Institutional,253,15,15,43,214,57,No,R01
112,BS003,13.039387,77.553406,40,3,53,12:30,Monday,Rainy,High,9,10819,Institutional,690,14,13,31,331,67,No,R02
113,BS047,13.015327,77.558151,9,24,61,08:15,Sunday,Rainy,Low,13,9962,Residential,631,17,11,58,176,63,Yes,R02
114,BS004,13.066412,77.525094,26,10,41,07:00,Saturday,Sunny,High,30,10607,Commercial,699,6,9,29,421,63,Yes,R03
115,BS030,13.013765,77.543797,28,17,69,07:30,Wednesday,Rainy,Low,10,4100,Institutional,663,12,6,49,131,96,Yes,R03
116,BS030,13.058005,77.493931,30,20,51,07:45,Thursday,Rainy,Low,8,11793,Mixed,646,19,11,26,215,54,Yes,R03
117,BS006,13.077988,77.541737,17,13,57,07:45,Wednesday,Sunny,Medium,15,11945,Residential,369,14,8,50,310,24,Yes,R01
118,BS035,13.075731,77.565612,7,2,14,07:30,Wednesday,Sunny,Medium,9,4202,Institutional,359,20,3,58,363,59,Yes,R03
119,BS013,13.060536,77.55364,9,9,33,19:15,Thursday,Sunny,Low,21,1943,Commercial,659,9,14,46,265,20,Yes,R03
120,BS027,13.063017,77.497788,7,3,33,17:15,Wednesday,Sunny,High,20,11154,Residential,369,17,12,42,293,24,Yes,R03
121,BS004,13.078765,77.528762,21,12,50,08:30,Monday,Rainy,Medium,30,11582,Mixed,452,8,8,32,87,48,Yes,R01
122,BS010,13.052525,77.521882,20,6,26,08:15,Saturday,Sunny,Medium,10,3540,Institutional,625,8,9,48,415,54,Yes,R01
123,BS022,13.07973,77.500926,18,12,38,12:45,Sunday,Cloudy,Low,15,6234,Institutional,446,13,9,17,140,49,No,R02
124,BS014,13.072033,77.530882,27,19,74,09:30,Friday,Rainy,Medium,28,4192,Commercial,342,20,5,34,83,89,Yes,R02
125,BS038,13.017967,77.520436,18,18,40,12:00,Thursday,Rainy,High,15,9104,Institutional,458,10,12,59,367,90,No,R01
126,BS037,13.00812,77.491117,2,19,41,09:15,Wednesday,Cloudy,Medium,17,9208,Commercial,546,13,6,55,112,48,Yes,R03
127,BS015,13.057742,77.509287,7,7,16,17:00,Tuesday,Sunny,High,27,8529,Residential,336,15,4,36,135,54,Yes,R01
128,BS022,13.065417,77.536947,35,8,50,17:30,Saturday,Cloudy,Low,30,10393,Mixed,467,15,4,36,305,60,Yes,R01
129,BS019,13.015146,77.532334,38,10,52,09:15,Tuesday,Cloudy,Medium,28,8718,Institutional,632,10,2,32,301,29,Yes,R01
130,BS048,13.055638,77.50945,26,17,72,17:00,Friday,Cloudy,Low,11,10441,Mixed,422,13,12,19,97,68,Yes,R02
131,BS050,13.015749,77.492136,2,21,44,12:45,Thursday,Sunny,High,12,10000,Residential,256,5,8,18,392,59,No,R03
132,BS030,13.07151,77.560168,32,14,49,19:30,Thursday,Rainy,High,9,5725,Residential,568,15,15,44,273,92,Yes,R02
133,BS023,13.017986,77.521841,7,4,33,09:00,Tuesday,Sunny,Low,9,1437,Institutional,603,6,12,47,81,37,Yes,R03
134,BS013,13.067935,77.517495,8,5,31,19:45,Friday,Sunny,High,28,1211,Residential,505,20,13,20,268,49,Yes,R01
135,BS038,13.074387,77.543376,0,6,20,19:15,Thursday,Cloudy,Low,14,9202,Mixed,393,19,7,19,100,71,Yes,R01
136,BS021,13.07155,77.564396,29,25,59,19:30,Tuesday,Cloudy,Low,18,2554,Residential,408,16,5,36,128,32,Yes,R02
137,BS028,13.029365,77.542202,2,24,37,08:00,Tuesday,Rainy,Medium,14,6362,Institutional,688,9,15,39,140,64,Yes,R02
138,BS002,13.011408,77.543966,14,18,36,12:30,Friday,Rainy,High,16,10871,Residential,605,9,2,40,397,50,No,R02
139,BS012,13.021727,77.490834,16,27,46,09:00,Saturday,Rainy,Medium,14,10403,Institutional,476,12,5,54,411,80,Yes,R02
140,BS013,13.044905,77.529237,11,28,50,18:00,Monday,Sunny,Low,19,11493,Residential,408,10,11,48,228,78,Yes,R02
141,BS028,13.024809,77.522644,27,11,42,09:30,Wednesday,Cloudy,High,24,3670,Commercial,300,6,8,17,152,78,Yes,R02
142,BS041,13.000469,77.540733,23,29,69,18:15,Thursday,Rainy,Low,24,6886,Mixed,341,11,14,16,458,46,Yes,R02
143,BS011,13.044306,77.494202,31,10,47,17:00,Thursday,Cloudy,Low,9,8190,Institutional,483,7,8,55,232,34,Yes,R01
144,BS011,13.005543,77.561468,10,22,35,07:30,Sunday,Cloudy,Medium,27,7079,Institutional,425,15,13,47,430,58,Yes,R03
145,BS024,13.035205,77.514166,9,18,45,19:45,Wednesday,Rainy,High,13,3297,Institutional,648,13,6,44,240,93,Yes,R01
146,BS016,13.028709,77.517582,19,24,73,17:00,Wednesday,Sunny,Medium,29,7076,Commercial,598,18,12,58,420,83,Yes,R03
147,BS037,13.078944,77.537659,10,13,47,08:00,Thursday,Rainy,Medium,30,10771,Residential,266,14,5,36,364,93,Yes,R02
148,BS039,13.042315,77.506825,5,25,48,07:00,Sunday,Cloudy,High,8,10199,Residential,653,9,2,35,218,37,Yes,R02
149,BS036,13.071652,77.546874,1,9,37,12:15,Monday,Sunny,High,20,10845,Commercial,636,7,11,15,151,42,No,R03
150,BS024,13.009875,77.529863,1,10,24,19:30,Tuesday,Rainy,High,29,10799,Residential,287,13,4,36,218,42,Yes,R03
151,BS036,13.075995,77.515128,11,25,41,19:00,Tuesday,Cloudy,High,30,10002,Commercial,424,15,15,37,277,27,Yes,R01
152,BS003,13.027774,77.53929,40,15,60,07:30,Thursday,Cloudy,High,17,2843,Institutional,654,9,12,21,333,92,Yes,R01
153,BS024,13.059978,77.530682,26,13,66,09:45,Saturday,Rainy,High,9,11638,Institutional,695,15,10,48,400,28,Yes,R03
154,BS015,13.069224,77.502037,7,10,22,17:45,Wednesday,Rainy,Low,27,3721,Commercial,257,11,12,58,147,97,Yes,R03
155,BS036,13.030909,77.513224,14,3,25,09:15,Sunday,Cloudy,Medium,26,4455,Institutional,417,5,10,58,195,49,Yes,R03
156,BS019,13.022089,77.522678,36,26,85,07:00,Tuesday,Rainy,Low,22,8200,Residential,576,10,5,41,308,49,Yes,R03
157,BS022,13.076426,77.54711,20,28,58,12:00,Saturday,Rainy,Low,23,11572,Institutional,649,17,7,55,56,39,No,R02
158,BS013,13.066289,77.552063,11,8,38,17:45,Tuesday,Cloudy,High,25,9123,Mixed,430,11,5,52,400,50,Yes,R02
159,BS038,13.003442,77.509845,16,6,24,12:15,Sunday,Rainy,Medium,14,11727,Residential,503,8,14,25,122,92,No,R03
160,BS003,13.021818,77.502877,29,4,36,07:15,Tuesday,Cloudy,Low,16,9171,Mixed,463,19,6,28,131,42,Yes,R02
161,BS022,13.041648,77.566994,40,13,55,08:45,Tuesday,Rainy,Low,11,9565,Institutional,263,16,5,22,160,27,Yes,R02
162,BS020,13.031884,77.493106,17,17,60,19:30,Friday,Sunny,Low,9,8206,Institutional,258,11,12,18,409,63,Yes,R03
163,BS030,13.070173,77.52879,28,12,44,09:45,Saturday,Cloudy,Low,10,2921,Residential,379,6,12,26,457,72,Yes,R03
164,BS006,13.025694,77.531584,1,22,33,12:15,Friday,Cloudy,Medium,10,6651,Residential,291,9,13,30,205,59,No,R03
165,BS029,13.036786,77.554942,9,21,33,09:15,Tuesday,Rainy,Low,13,4270,Commercial,670,8,9,27,472,76,Yes,R01
166,BS013,13.059823,77.501418,8,17,40,09:15,Monday,Rainy,Medium,9,1404,Commercial,518,18,14,51,248,66,Yes,R03
167,BS038,13.048362,77.509756,14,1,35,08:30,Friday,Rainy,Low,15,1737,Residential,342,7,14,16,275,56,Yes,R02
168,BS047,13.004562,77.5654,13,0,43,09:45,Saturday,Sunny,Low,13,10478,Mixed,534,5,11,39,380,66,Yes,R01
169,BS010,13.028353,77.560389,25,7,34,07:45,Thursday,Sunny,High,24,7367,Residential,606,9,4,36,88,91,Yes,R01
170,BS036,13.010058,77.494289,39,30,72,07:45,Monday,Sunny,Low,27,3425,Commercial,548,7,9,29,191,51,Yes,R01
171,BS010,13.039095,77.559414,5,1,26,17:30,Wednesday,Rainy,High,13,3778,Residential,611,18,15,48,156,73,Yes,R03
172,BS031,13.040223,77.5011,39,3,44,09:15,Friday,Rainy,High,14,11667,Residential,645,19,13,22,84,82,Yes,R03
173,BS043,13.062975,77.544143,0,25,34,08:15,Monday,Sunny,Low,9,3221,Institutional,608,18,8,31,212,85,Yes,R01
174,BS026,13.043495,77.532556,2,20,31,19:45,Monday,Sunny,High,30,1660,Commercial,540,17,3,41,235,26,Yes,R03
175,BS013,13.01098,77.504577,37,14,61,12:45,Wednesday,Sunny,High,19,4145,Residential,342,13,11,47,99,76,No,R01
176,BS014,13.031932,77.535541,11,14,52,07:15,Saturday,Sunny,High,15,4602,Residential,267,13,8,51,404,89,Yes,R01
177,BS043,13.053917,77.519821,5,12,24,19:00,Monday,Rainy,Low,22,2575,Residential,464,6,2,59,209,23,Yes,R03
178,BS050,13.045347,77.525052,24,18,50,09:00,Thursday,Rainy,Medium,24,1641,Commercial,490,13,13,17,446,82,Yes,R02
179,BS033,13.025662,77.494889,34,0,38,07:30,Sunday,Cloudy,High,15,3121,Mixed,482,18,3,59,338,94,Yes,R03
180,BS006,13.038669,77.531055,14,21,38,08:00,Wednesday,Cloudy,Medium,8,9203,Institutional,316,18,9,17,255,87,Yes,R01
181,BS002,13.056664,77.510889,35,7,60,08:15,Tuesday,Rainy,Low,15,4399,Mixed,386,19,12,41,263,45,Yes,R03
182,BS044,13.034164,77.505327,26,2,39,17:45,Thursday,Sunny,Medium,15,4742,Residential,443,15,7,59,180,66,Yes,R03
183,BS015,13.075751,77.500464,17,15,45,08:15,Wednesday,Cloudy,Medium,17,4218,Commercial,348,11,14,19,143,46,Yes,R02
184,BS046,13.003419,77.564578,18,19,53,19:30,Friday,Cloudy,High,21,5349,Residential,472,17,15,35,157,34,Yes,R03
185,BS014,13.064803,77.567089,30,21,76,18:30,Tuesday,Rainy,Medium,27,3507,Commercial,604,18,6,21,245,54,Yes,R02
186,BS036,13.026279,77.502541,30,5,59,17:30,Thursday,Sunny,Medium,27,6623,Institutional,360,14,10,44,371,91,Yes,R03
187,BS029,13.021225,77.49715,24,20,66,12:15,Friday,Sunny,Medium,28,4066,Mixed,504,14,3,58,201,81,No,R02
188,BS041,13.015294,77.499343,2,13,44,07:15,Wednesday,Rainy,Low,30,2470,Institutional,655,10,3,24,489,20,Yes,R01
189,BS024,13.06696,77.55015,22,9,38,08:45,Thursday,Rainy,High,27,9916,Residential,667,18,7,34,489,79,Yes,R02
190,BS027,13.074853,77.531923,0,14,14,19:15,Tuesday,Cloudy,Medium,16,11045,Commercial,646,15,10,30,478,100,Yes,R01
191,BS025,13.05377,77.548085,5,29,58,08:15,Sunday,Sunny,High,25,1492,Mixed,471,8,15,56,163,91,Yes,R03
192,BS022,13.067519,77.499921,38,19,64,07:15,Tuesday,Rainy,Low,25,10296,Institutional,599,10,14,40,68,75,Yes,R03
193,BS048,13.070692,77.558753,17,26,55,12:30,Friday,Rainy,Low,9,7078,Mixed,519,6,5,30,446,84,No,R01
194,BS005,13.005873,77.494654,39,30,83,08:00,Sunday,Cloudy,High,17,2785,Residential,672,8,7,19,432,55,Yes,R01
195,BS001,13.065594,77.514195,29,19,72,07:45,Thursday,Cloudy,Low,12,9585,Mixed,250,15,6,38,306,41,Yes,R01
196,BS042,13.054503,77.544044,1,27,32,18:00,Friday,Cloudy,Low,14,10017,Residential,551,5,6,26,123,38,Yes,R02
197,BS033,13.016894,77.523393,30,11,58,18:00,Thursday,Sunny,Medium,9,10601,Residential,420,13,8,42,385,55,Yes,R01
198,BS013,13.055272,77.554489,9,8,40,07:45,Sunday,Rainy,High,13,3797,Institutional,440,7,5,48,205,32,Yes,R01
199,BS006,13.040547,77.496044,40,15,59,17:15,Thursday,Cloudy,Medium,12,10833,Institutional,397,5,7,39,152,77,Yes,R02
200,BS009,13.019569,77.539415,38,29,74,17:00,Saturday,Sunny,Medium,14,8514,Commercial,582,16,6,29,481,49,Yes,R01
201,BS007,13.066611,77.491253,29,3,58,17:30,Sunday,Sunny,Medium,21,1158,Mixed,536,19,9,17,439,85,Yes,R02
